order_id,user_id,product_id,post_id,bandId,customer_name,customer_bandId,customer_profile,quantity,price,total_amount,comment,status,ordered_at,confirmed_at,completed_at,band_comment_id,band_comment_url,admin_note,updated_at,history,canceled_at,price_option_used,content
82443310_26178_0,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,fbd2e45baf2666b04eda5a249f59667c0cd7d7787195854648a2b861798d77c1,26178,82443310,하이브,,,2,7900,15800,2팩요.,주문완료,2025-03-31 02:30:00+00,,,26178_comment_0,https://band.us/band/82443310/post/26178#comment,,,,,1팩(10개입) x 2,
82443310_26178_1,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,fbd2e45baf2666b04eda5a249f59667c0cd7d7787195854648a2b861798d77c1,26178,82443310,수진@,,,1,7900,7900,1팩이요,주문완료,2025-03-31 02:44:00+00,,,26178_comment_1,https://band.us/band/82443310/post/26178#comment,,,,,1팩(10개입),
82443310_26178_2,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,fbd2e45baf2666b04eda5a249f59667c0cd7d7787195854648a2b861798d77c1,26178,82443310,가빈과일첫째,,,2,7900,15800,@하이브 @수진@ 감사합니다3,주문완료,2025-03-31 02:45:00+00,,,26178_comment_2,https://band.us/band/82443310/post/26178#comment,,,,,1팩(10개입) x 2,
82443310_26179_0,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,a826d775fd7c8bf2db9e04cbe546e75312b0bdf244985bf1a1c45e3b55033ae9,26179,82443310,김연양,,,2,5900,11800,2봉지요,주문완료,2025-03-31 01:16:00+00,,,26179_comment_0,https://band.us/band/82443310/post/26179#comment,,,,,800g 봉지 x 2,
82443310_26179_1,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,a826d775fd7c8bf2db9e04cbe546e75312b0bdf244985bf1a1c45e3b55033ae9,26179,82443310,중앙1로,,,2,5900,11800,2팩이요,주문완료,2025-03-31 01:16:00+00,,,26179_comment_1,https://band.us/band/82443310/post/26179#comment,,,,,800g 봉지 x 2,
82443310_26179_10,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,a826d775fd7c8bf2db9e04cbe546e75312b0bdf244985bf1a1c45e3b55033ae9,26179,82443310,초코송이,,,1,5900,5900,1봉지요,주문완료,2025-03-31 03:11:00+00,,,26179_comment_10,https://band.us/band/82443310/post/26179#comment,,,,,800g 봉지,
82443310_26179_11,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,a826d775fd7c8bf2db9e04cbe546e75312b0bdf244985bf1a1c45e3b55033ae9,26179,82443310,가빈과일첫째,,,2,5900,11800,@초코송이 감사합니다12,주문완료,2025-03-31 03:11:00+00,,,26179_comment_11,https://band.us/band/82443310/post/26179#comment,,,,,800g 봉지 x 2,
82443310_26179_12,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,a826d775fd7c8bf2db9e04cbe546e75312b0bdf244985bf1a1c45e3b55033ae9,26179,82443310,채원.준우맘,,,1,5900,5900,1봉,주문완료,2025-03-31 03:51:00+00,,,26179_comment_12,https://band.us/band/82443310/post/26179#comment,,,,,800g 봉지,
82443310_26179_13,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,a826d775fd7c8bf2db9e04cbe546e75312b0bdf244985bf1a1c45e3b55033ae9,26179,82443310,가빈과일첫째,,,4,5900,23600,@채원.준우맘 감사합니다13,주문완료,2025-03-31 04:11:00+00,,,26179_comment_13,https://band.us/band/82443310/post/26179#comment,,,,,800g 봉지 x 4,
82443310_26179_2,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,a826d775fd7c8bf2db9e04cbe546e75312b0bdf244985bf1a1c45e3b55033ae9,26179,82443310,하루!!,,,2,5900,11800,2봉지요,주문완료,2025-03-31 01:19:00+00,,,26179_comment_2,https://band.us/band/82443310/post/26179#comment,,,,,800g 봉지 x 2,
82443310_26179_3,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,a826d775fd7c8bf2db9e04cbe546e75312b0bdf244985bf1a1c45e3b55033ae9,26179,82443310,1117,,,1,5900,5900,1봉지요,주문완료,2025-03-31 01:20:00+00,,,26179_comment_3,https://band.us/band/82443310/post/26179#comment,,,,,800g 봉지,
